did,handle,display_name,avatar,associated_chat_allow_incoming,associated_activity_subscription_allowsubscriptions,viewer_muted,viewer_blocked_by,labels_src,labels_uri,labels_cid,labels_val,labels_cts,created_at,description,indexed_at,uri,original_uri,verification_verifications_issuer,verification_verifications_uri,verification_verifications_is_valid,verification_verifications_created_at,verification_verified_status,verification_trusted_verifierstatus,viewer_following,viewer_followed_by,labels_ver,labels_cts_..9,labels_src_..10,labels_uri_..11,labels_val_..12,labels_src_..14,labels_uri_..15,labels_val_..17,labels_cts_..18,labels_src_..22,labels_uri_..23,labels_val_..24,labels_cts_..25
did:plc:xzpzaomxbq22xor2ttvrcwhu,keith1275.bsky.social,Keith Hyland,https://cdn.bsky.app/img/avatar/plain/did:plc:xzpzaomxbq22xor2ttvrcwhu/bafkreiemndt7nkcvug6aucwikx2oxrymk472czypwwqfdpxrc3tlbb4c2u@jpeg,following,followers,FALSE,FALSE,did:plc:xzpzaomxbq22xor2ttvrcwhu,at://did:plc:xzpzaomxbq22xor2ttvrcwhu/app.bsky.actor.profile/self,bafyreibnlt4iaw5trozixkdu5dcy46nmnwtfgizuyqwc5x3inj4uzj76hq,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-09-17T18:19:34.091Z,"Close no doors.
Diversity. Equity. Inclusion.

“currently clean on OPSEC""

#Speirgorm  #spéirgorm 🇬🇱",2025-03-29T07:56:31.364Z,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:uwji4l3wzsygaxduowluqmgr,sharrow.bsky.social,Sharrow 🏳️‍🌈🏳️‍⚧️🇮🇪🦄💙📚🎃,https://cdn.bsky.app/img/avatar/plain/did:plc:uwji4l3wzsygaxduowluqmgr/bafkreiesu4kqeyy7fagrt3ubncguvtcj36ctpvdvdlnusrz3j6ixlcted4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T07:18:54.224Z,"Omni Gamer, Activist, Infovore. 
She/Her Queer 
Communication & Communities 
Where is my Bisexual pride flag emoji? 
If I can't have My Reproductive Rights then it's not My Revolution.
Janet.ie
#LongCovid 
#TransHealthCareNow
#abortionishealthcare",2025-10-16T00:15:47.681Z,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:6csq4nt7yowkwyiylro3uu2t,pepsffk.bsky.social,Oftentimes Jack 🇮🇪,https://cdn.bsky.app/img/avatar/plain/did:plc:6csq4nt7yowkwyiylro3uu2t/bafkreibmgwzzfk6rwmew7iuvnuuzedwqfato4bh7bhwp2wjuigfo6gnjki@jpeg,NA,followers,FALSE,FALSE,did:plc:6csq4nt7yowkwyiylro3uu2t,at://did:plc:6csq4nt7yowkwyiylro3uu2t/app.bsky.actor.profile/self,bafyreiawuwd44l25i3uu4pzl4xtcnnhpa3sdf6atallssfxaaak65vd7oa,!no-unauthenticated,2024-11-08T13:33:30.531Z,2024-11-08T13:33:31.813Z,"All I want is a world in which when I am gone I will be mourned by the bees.

هنا لمساعدة الفلسطينيين

""We are each other's harvest; we are each other's business; we are each other's magnitude and bond""

Trans Rights Are Non-Negotiable 🌈🫂",2025-11-16T22:02:07.516Z,at://did:plc:j2wnnsrxlcesmgggtmpfou7c/app.bsky.feed.post/3m6nevkx4v226,at://did:plc:j2wnnsrxlcesmgggtmpfou7c/app.bsky.feed.post/3m6nevkx4v226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:uwji4l3wzsygaxduowluqmgr,sharrow.bsky.social,Sharrow 🏳️‍🌈🏳️‍⚧️🇮🇪🦄💙📚🎃,https://cdn.bsky.app/img/avatar/plain/did:plc:uwji4l3wzsygaxduowluqmgr/bafkreiesu4kqeyy7fagrt3ubncguvtcj36ctpvdvdlnusrz3j6ixlcted4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T07:18:54.224Z,"Omni Gamer, Activist, Infovore. 
She/Her Queer 
Communication & Communities 
Where is my Bisexual pride flag emoji? 
If I can't have My Reproductive Rights then it's not My Revolution.
Janet.ie
#LongCovid 
#TransHealthCareNow
#abortionishealthcare",2025-10-16T00:15:47.681Z,at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6nepuiix22k,at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6nepuiix22k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:onk5fak6ezcpgfk3alsib4fx,caitrionas.bsky.social,Caitríona Shanahan,https://cdn.bsky.app/img/avatar/plain/did:plc:onk5fak6ezcpgfk3alsib4fx/bafkreihbou7vadraz2acmnqmrjwkphp5xp2gyy6ea5ir2tjen7lmfm3enq@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-11-26T13:01:18.387Z,"She/her//sí/í. Done working around the world, happy to be back home in the gorgeous Kingdom of Kerry, ensconced in Munster, the true home of northern hemisphere rugby. Lucky to have such wonderful niblings who keep me in touch with this 21st Century stuff.",2024-01-26T03:07:57.268Z,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:k2qphz4i7ioibek2iaqmdwwi,bikesnbukes.bsky.social,Oisín Murphy-Lawless,https://cdn.bsky.app/img/avatar/plain/did:plc:k2qphz4i7ioibek2iaqmdwwi/bafkreicrcsqnkhjjfycg2z7cqkjrkm6zgq3sb2bku2jilrbawvfjpo5ogm@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-09-22T07:11:27.873Z,"LLM in Human Rights. Opinions are my own, reposts not an endorsement. Cyclist, da, flatmate to Finrod (friend to man). Cat pics, Phillies, some law, tech and internet policy (day job), the odd Bucky/Klaes gif. Oh! And RPG stuff (mainly Call of Cthulhu).",2025-11-16T21:01:57.916Z,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wgkqct5ydercw5mliithdzyy,wildecard.bsky.social,KP McDonnell,https://cdn.bsky.app/img/avatar/plain/did:plc:wgkqct5ydercw5mliithdzyy/bafkreiafht3no2vptbsokloa2qrfbevrx2hjfxekfkaham3b5tbpsbkjx4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-11-17T20:14:39.240Z,"An Irish Green socialist with a penchant for heavy metal, video games, horror movies and obvious nonsense that does harm to no one.
Please don't repost twitter or obvious propaganda from any government into my timeline.",2025-11-13T22:13:18.717Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wg5sefmf4r7u3veskf7c7qpw,sarklor.bsky.social,Ciaránavirus,https://cdn.bsky.app/img/avatar/plain/did:plc:wg5sefmf4r7u3veskf7c7qpw/bafkreic2htcrwujwschudcck56stdnrivgfmuxiu4xnrhp44zdsztcdwca@jpeg,all,none,FALSE,FALSE,NA,NA,NA,NA,NA,2023-05-30T12:17:26.741Z,"Depressed goblin nightmare boy.

Occasional freelance writer: Warhammer 40K: Wrath & Glory, Imperium Maledictum, Warhammer Fantasy RolePlay. I am also a 2019 Hugo Award Attendee. He/Him etc.
https://ko-fi.com/sarklor
https://www.sarklor.ie/",2025-05-06T15:44:19.644Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:fw54bretcmizoti3u7q3pwin,stephencward.com,Stíofán Mhac an Bhaird (Stephen Ward),https://cdn.bsky.app/img/avatar/plain/did:plc:fw54bretcmizoti3u7q3pwin/bafkreicaejwhumxgxq7d376ccgbpnqtvnhtxbo6f27gk7rqc4ljbcdbtbm@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-06-23T10:35:28.186Z,"Comic-loving bookworm. Scribbler of words and images.  (cis,he/him)

Website: https://stephencward.com

Avatar by Debbie Jenkinson",2025-10-22T12:30:24.616Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:ewsgrdkxvkheig6kjgvlvrhx,alexcurran95.bsky.social,Alex Curran,https://cdn.bsky.app/img/avatar/plain/did:plc:ewsgrdkxvkheig6kjgvlvrhx/bafkreihdm57lzdl6bczl7rec25dqdec4ek7lpqrdllogulprng4fgbd32m@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2025-11-14T18:11:28.917Z,NA,2025-11-14T18:32:29.016Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:43pp7we7dk4pmibe4ahfdhzi,ealadubh.bsky.social,Emma Rua ,https://cdn.bsky.app/img/avatar/plain/did:plc:43pp7we7dk4pmibe4ahfdhzi/bafkreif6tsii5cbjkhyuz6pdmolzc6qiufmdqz4plz5i2nivsptcqj2ao4@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2024-02-10T04:57:34.179Z,"Finally flying in the mythical sky so bluee🦋
Éireannach 🇮🇪  Foghlaimím Gaeilge 💚
Saoirse don Phalaistín 🇵🇸 
Iníon na Teamhrach
The Land & all our relations are Sacred
(Pp is Scout) ",2024-12-16T18:48:58.214Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wag674sevew5ziuie5zoa3qi,ayrtonobrien.bsky.social,Ayrton O'Brien 🇵🇸,https://cdn.bsky.app/img/avatar/plain/did:plc:wag674sevew5ziuie5zoa3qi/bafkreia6zsd77y5xkazyiwrnnlak75g6jr3g7wq4kkzywlqgswy2ukla2i@jpeg,following,followers,FALSE,FALSE,did:plc:wag674sevew5ziuie5zoa3qi,at://did:plc:wag674sevew5ziuie5zoa3qi/app.bsky.actor.profile/self,bafyreibwgj67cehjdzjg55me5idlydjtdweunshchiwfi2obdx424hrq3y,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-09-21T18:47:45.931Z,"Film nerd / existential mess

Free Palestine

on GMT (in Ireland)",2025-03-16T23:43:05.816Z,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:uwji4l3wzsygaxduowluqmgr,sharrow.bsky.social,Sharrow 🏳️‍🌈🏳️‍⚧️🇮🇪🦄💙📚🎃,https://cdn.bsky.app/img/avatar/plain/did:plc:uwji4l3wzsygaxduowluqmgr/bafkreiesu4kqeyy7fagrt3ubncguvtcj36ctpvdvdlnusrz3j6ixlcted4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T07:18:54.224Z,"Omni Gamer, Activist, Infovore. 
She/Her Queer 
Communication & Communities 
Where is my Bisexual pride flag emoji? 
If I can't have My Reproductive Rights then it's not My Revolution.
Janet.ie
#LongCovid 
#TransHealthCareNow
#abortionishealthcare",2025-10-16T00:15:47.681Z,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:pjzzqrik4jycemcnqyzu6kqv,program9.com,James Heslin,https://cdn.bsky.app/img/avatar/plain/did:plc:pjzzqrik4jycemcnqyzu6kqv/bafkreihviyla22cqwmhlcf3jy4ng5u2cjfn5wz3mqvcvvxupq4msx7fhgq@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-06-22T07:35:20.794Z,"I play games, make things, and sit around. Still taking COVID precautions and wish you would too. BLM, free Palestine, end Direct Provision, protect trans kids.

He/him",2024-10-21T20:48:35.445Z,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,at://did:plc:n6yvrp7h45vdrm72nrldcbzq/app.bsky.feed.post/3m6n6lgazgk2e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:omnbcbqqse4zrxksjlixqpu4,books.newsmast.community.ap.brid.gy,Books & Literature Channel,https://cdn.bsky.app/img/avatar/plain/did:plc:omnbcbqqse4zrxksjlixqpu4/bafkreict3tdozyxavplzvcvgg64rbhjtxkypuaxgknw3qx6wyghlyzrhei@jpeg,none,followers,FALSE,FALSE,did:plc:omnbcbqqse4zrxksjlixqpu4,at://did:plc:omnbcbqqse4zrxksjlixqpu4/app.bsky.actor.profile/self,bafyreieyn26eyg4lqythluxdom7aisprnl6ubikrheohb776iousc5ywvm,bridged-from-bridgy-fed-activitypub,1970-01-01T00:00:00.000Z,2024-06-18T14:51:32.853Z,"Welcome to the Newsmast Books & Literature Channel. A curated feed of posts from the Fediverse, handmade by @newsmast@newmast.social, and broadcasting to […] 

[bridged from https://newsmast.community/@books on the fediverse by https://fed.brid.gy/ ]",2025-04-22T10:46:35.344Z,at://did:plc:33vlabr5n5naktrl6xgyopoc/app.bsky.feed.post/3m6n2tf4lb22e,at://did:plc:33vlabr5n5naktrl6xgyopoc/app.bsky.feed.post/3m6n2tf4lb22e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wse2xzmb4etf7dpmdodw75lt,jenniferomeara5.bsky.social,Jennifer O'Meara,https://cdn.bsky.app/img/avatar/plain/did:plc:wse2xzmb4etf7dpmdodw75lt/bafkreihfjzluxixpqagmiw7qlobudgffzsp3vqc6imectmskaegidwruei@jpeg,NA,none,FALSE,FALSE,did:plc:wse2xzmb4etf7dpmdodw75lt,at://did:plc:wse2xzmb4etf7dpmdodw75lt/app.bsky.actor.profile/self,bafyreif2qmpphlpk3rczhji4l3wzfx3rry4uca2wk5tgwd2q6balvihtka,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-08-23T22:53:42.561Z,"Read my pinned post. Bigots and fascists won't be tolerated.
Refugees are welcome.
County Clare, Ireland.",2025-04-12T13:57:56.243Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:rze7gpuy2yqtxuahayqitmhg,manofbeerd.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:rze7gpuy2yqtxuahayqitmhg/bafkreidwbmtlviolb5deiuobbwc6zunlvej7mm7e3of4waab2yfsttafbi@jpeg,following,followers,FALSE,FALSE,did:plc:rze7gpuy2yqtxuahayqitmhg,at://did:plc:rze7gpuy2yqtxuahayqitmhg/app.bsky.actor.profile/self,bafyreigerhnete5skjkn3omxqctawhhu72g3ru3mqrrprh3364kzs7hs6m,!no-unauthenticated,1970-01-01T00:00:00.000Z,2024-02-08T21:06:34.889Z,NA,2025-06-25T12:15:18.498Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:nmlm6fsolhv4eb3rfarh7esd,annstapleton.bsky.social,Ann Stapleton BL,https://cdn.bsky.app/img/avatar/plain/did:plc:nmlm6fsolhv4eb3rfarh7esd/bafkreicf4jm6xyugmu5bpk7exbnu2xussf6lauttkolhiwupspmvh2ocwu@jpeg,none,followers,FALSE,FALSE,did:plc:nmlm6fsolhv4eb3rfarh7esd,at://did:plc:nmlm6fsolhv4eb3rfarh7esd/app.bsky.actor.profile/self,bafyreigewqnq5uutnvvjlg6im3sekwp2y7rqij5jgomutvrpawqxauijqe,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-09-19T10:04:20.927Z,"Lawyer and Mum based in Dublin, Ireland. 
All posts are my own opinion except reposts which ≠ endorsement
#speirgorm",2024-11-26T11:11:35.708Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:lapeos6kamaakxk54gws7ks2,mousketeer.bsky.social,Denise  Murray/Donnacha Ní Mhuireadhaigh,https://cdn.bsky.app/img/avatar/plain/did:plc:lapeos6kamaakxk54gws7ks2/bafkreifrkfpbsgjo7j5iw3rd4bmkfrmktbqkjx2kobg2zh7zyvtkaib6ha@jpeg,NA,followers,FALSE,FALSE,did:plc:lapeos6kamaakxk54gws7ks2,at://did:plc:lapeos6kamaakxk54gws7ks2/app.bsky.actor.profile/self,bafyreigu2rhfs4d7noxdx5cqafx36hbmiycenmw7ysbgeamvi57tpd66we,!no-unauthenticated,2024-11-14T13:52:00.715Z,2024-11-14T13:52:02.556Z,"Cork like. Artist, Historian, chef, retired and broken from rugby, occasional talking head on TV mainly about Gráinne Ní Mháille. Dilettante extraordinaire.
Not fond of humans. Dog rescuer. PWD, GNC, nearing OAP, proudly Socialist, and absolutely Queer.",2025-10-24T16:10:35.017Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:jr5xhxt5w6a2jqh2os36rkvg,ciara2001.bsky.social,ᚅᚓᚃ ᚆᚐᚔᚏᚇᚑ ᚃᚆᚑ ᚇᚔᚄ,https://cdn.bsky.app/img/avatar/plain/did:plc:jr5xhxt5w6a2jqh2os36rkvg/bafkreih73qv6rss52oow6222zwkgs6qlgiti73jself3g4fosgzsgolgym@jpeg,all,followers,FALSE,FALSE,did:plc:jr5xhxt5w6a2jqh2os36rkvg,at://did:plc:jr5xhxt5w6a2jqh2os36rkvg/app.bsky.actor.profile/self,bafyreiekjse6455k52pkqbly6fapsnetuldbhl4a6ixr3ipfu53ls7d3pu,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-05-21T17:12:47.907Z,"A lapsed moment of reasonableness
She/Her
Lover of utter randomness
Irish 
(something pithy. poignant and wird will probably fill this space at some point, yes I am doing a little experiment)
""For I have manifested my darkness and become god""",2025-11-19T20:15:50.691Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:jjn6ptz4wwbma6zefvc7ut5r,imaginarystories.bsky.social,Imaginary Stories,https://cdn.bsky.app/img/avatar/plain/did:plc:jjn6ptz4wwbma6zefvc7ut5r/bafkreicka2gy7qlyp4p4rvkasfma6cqoi7ewbwgmdesetnab2k2ezm6uy4@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2025-03-05T18:10:45.012Z,"I like SF, superhero comics, and indie comics. Somehow I mostly share political stuff. *shrug*

My Ko-fi https://ko-fi.com/imaginarystories",2025-06-22T14:27:00.097Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:jejoscoi6dlluplcstx4dezz,cathibea.bsky.social,,NA,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2024-02-08T17:35:38.019Z,NA,2024-02-27T06:10:31.487Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:g2lpdme7nt4zwc7fq56gkugm,jdalton79.bsky.social,Joanne Dalton,https://cdn.bsky.app/img/avatar/plain/did:plc:g2lpdme7nt4zwc7fq56gkugm/bafkreiaw4r2ll2u55fqo5ishdzqvh3lop4czvapk5gaopctlyxut5t7lqe@jpeg,NA,followers,FALSE,FALSE,did:plc:g2lpdme7nt4zwc7fq56gkugm,at://did:plc:g2lpdme7nt4zwc7fq56gkugm/app.bsky.actor.profile/self,bafyreibixjibwi3otfpb7vqeqqjzbvvdphthqj476ebmy24vm5qegatq24,!no-unauthenticated,2024-11-19T21:31:50.508Z,2024-11-19T22:02:57.295Z,"Here to find out what you are reading right now 📚👀!
#Booksky📚💙
T1D 💙
Vinted (Who knew I had so many green dresses!) 💚: https://www.vinted.ie/member/286746499-joanned30 👗

📌Dublin, Ireland  🍉",2025-11-24T17:32:52.191Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:emry77pbmuvolxxrkgpqazzf,diane.dianeduane.com,Diane Duane,https://cdn.bsky.app/img/avatar/plain/did:plc:emry77pbmuvolxxrkgpqazzf/bafkreihc7xexupmp5yo2etm7tk2r7kgxtrnyttckigipra5mxtmnjgd4de@jpeg,following,followers,FALSE,FALSE,did:plc:emry77pbmuvolxxrkgpqazzf,at://did:plc:emry77pbmuvolxxrkgpqazzf/app.bsky.actor.profile/self,bafyreibrt6lvbqhaxy2pdkmeg7jfzktvt7wmyysbkpegboknr4tczm2nua,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-07-25T23:40:33.021Z,"40+ yrs in print, 50+ novels, asst'd TV/film, NYT B'seller List every now & then, blah blah blah. Ireland-resident. Ebook store: https://ebooks.direct. Now with added Ko-Fi! (https://ko-fi.com/dianeduane) I miss @peter.petermorwood.com.",2025-11-11T19:15:08.216Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:bwri5etslrdnbu6jpqrznf36,tggleeson.bsky.social,Tom Gleeson,https://cdn.bsky.app/img/avatar/plain/did:plc:bwri5etslrdnbu6jpqrznf36/bafkreihtmarp2pk4ul3uyjzpgw53xdwfpicyxd43xxn6npjxrwoapc4wce@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-01T19:36:29.771Z,Datasmith (retired) same handle on the Bird Site.,2024-11-23T11:40:32.308Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:7czbhyt6vmlibzjk2md3ds36,slated.ie,SLATED™,https://cdn.bsky.app/img/avatar/plain/did:plc:7czbhyt6vmlibzjk2md3ds36/bafkreihyctdalocn7dvk5b4b7arggfnlmubrlthlci6r7zf6cjbu7qe2vm@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T06:34:56.876Z,"Award winning Irish Family design studio creating slate tableware, specialising in Personalised and Corporate Gifts.

Perfected over the generations by the Hammond Family. 
We ship worldwide 🌍  Slated.ie 

Posts by Tara

@SlatedIreland on the Birdie site",2025-10-19T20:19:59.517Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:64ict5kfks2xkx6seyubggy2,leoie.bsky.social,Leo O’Shaughnessy,https://cdn.bsky.app/img/avatar/plain/did:plc:64ict5kfks2xkx6seyubggy2/bafkreicxnornymznv6mkakurheksujgkfbd6vrjc4qfoddvc2dt7yvix5y@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-06-07T17:40:32.437Z,Gen X lefty fag. Ban Billionaires. Trans rights are human rights. Free Palestine.,2025-10-19T16:22:15.417Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6n2k2tyis22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
